OBJECTID_1,CON_ID,MAX_CON_NA,Shape_Leng,GUID,Shape__Are,Shape__Len,CON_NAME,MS_FB,MS_FB_PARE,WIKIDATA
1,100001C,Laois (3),288189.051289999973960,0D01DB11-1DAE-4BD3-9FAC-5563AEB26696,0.245018065313011,3.472871970663600,Laois,country:ie/dail-constituency:laois,country:ie,Q6487881
2,10001C,Carlow-Kilkenny (5),347700.682129999971949,AA601F40-12B7-41E8-A384-74688CC75084,0.375821424931936,4.113489559171730,Carlow–Kilkenny,country:ie/dail-constituency:carlow-kilkenny,country:ie,Q3913273
3,120001C,Limerick (3),396975.054709999996703,6ABAF341-6DD5-4072-84DC-C3511DF6952C,0.313481111612112,4.860452689340360,Limerick County,country:ie/dail-constituency:limerick-county,country:ie,Q6549251
4,120002C,Limerick City (4),165421.639804000005824,DDA7971D-4034-4C75-96E5-D760E33555A2,0.053247275649301,1.971422217332930,Limerick City,country:ie/dail-constituency:limerick-city,country:ie,Q6549243
5,130001C,Longford-Westmeath (4),325271.568321000027936,C7390FE4-96BC-4BFA-8F4D-09E4BD3E0BE9,0.355907000431421,3.882600943602650,Longford–Westmeath,country:ie/dail-constituency:longford-westmeath,country:ie,Q6673850
6,140001C,Louth (5),279295.859959999972489,957D1D37-5221-4B23-AADD-41F48DE00C7A,0.124516438867686,3.403073535258990,Louth,country:ie/dail-constituency:louth,country:ie,Q6689841
7,150001C,Mayo (4),1589460.804460000013933,4B5510D1-9892-46C1-8403-F65F42B9A8CF,0.716077112842225,20.065429957947099,Mayo,country:ie/dail-constituency:mayo,country:ie,Q1869725
8,160001C,Meath East (3),335799.581790000025649,6051CABD-672B-4EAF-9B4A-CF28C936A140,0.162261567730372,4.127910350413460,Meath East,country:ie/dail-constituency:meath-east,country:ie,Q1929591
9,160002C,Meath West (3),293606.454616000002716,4DC42418-6191-47F7-B92D-0EFE5591FC92,0.186096907717231,3.614985435915150,Meath West,country:ie/dail-constituency:meath-west,country:ie,Q2040462
10,180001C,Offaly (3),409036.451745000027586,046F6BB9-1AB5-4920-A71E-E0B882953910,0.348567007441710,5.050785688299750,Offaly,country:ie/dail-constituency:offaly,country:ie,Q7079018
11,190001C,Roscommon-Galway (3),469536.570458000001963,7465141C-6D30-4331-AC42-90DD4F143B63,0.457577160254661,5.695538475788020,Roscommon–Galway,country:ie/dail-constituency:roscommon-galway,country:ie,Q7367587
12,200001C,Sligo-Leitrim (4),848812.893487000023015,9CE771FE-AEC9-4BA0-B664-64D6B659A6A8,0.596938662818107,10.564894744384400,Sligo–Leitrim,country:ie/dail-constituency:sligo-leitrim,country:ie,Q54932109
13,20001C,Cavan-Monaghan (4),428239.872394000005443,AC869BFE-5EB7-4479-AF27-670D394B2656,0.345789023183130,5.230099130480730,Cavan–Monaghan,country:ie/dail-constituency:cavan-monaghan,country:ie,Q2701743
14,210001C,Tipperary (5),458058.243758000025991,037BD046-B699-4930-AAF6-B9029B4CAF4B,0.492018831132347,5.461666954392200,Tipperary,country:ie/dail-constituency:tipperary,country:ie,Q7808886
15,220001C,Waterford (4),427519.350090000021737,2C10CC63-EE08-47CF-AE85-FE5A8A385DFD,0.244129057660110,5.189961549508310,Waterford,country:ie/dail-constituency:waterford,country:ie,Q2109423
16,240001C,Wexford (5),425062.049259999999776,393B7DEB-C417-423C-A271-1166DDC527E1,0.313349876158712,5.052804753399800,Wexford,country:ie/dail-constituency:wexford,country:ie,Q3458611
17,250001C,Wicklow (5),292474.858889999974053,3F59EE2B-8D39-4C40-ACD1-EEFC7F879936,0.288952034096517,3.464310308110190,Wicklow,country:ie/dail-constituency:wicklow,country:ie,Q2380581
18,2600010C,Dublin Rathdown (3),43013.324747300001036,C9E585BC-CE08-4FD7-873B-F89D6341B9A2,0.009417376230527,0.516042635574819,Dublin Rathdown,country:ie/dail-constituency:dublin-rathdown,country:ie,Q5310953
19,2600011C,Dún Laoghaire (4),57408.845598799998697,F6515FCB-9907-4575-918F-6DFC7DF2C290,0.007622102062565,0.675447691685276,Dún Laoghaire,country:ie/dail-constituency:dun-laoghaire,country:ie,Q5320426
20,260001C,Dublin Fingal (5),175548.750670000008540,5EEBE287-5ED9-454D-8E42-C988531C8CCC,0.049951591838790,2.155380868640400,Dublin Fingal,country:ie/dail-constituency:dublin-fingal,country:ie,Q20620587
21,260002C,Dublin West (4),54564.613074799999595,FB3305C4-5CFE-4B3F-81E7-89E31BC39858,0.010231933432027,0.672283626721330,Dublin West,country:ie/dail-constituency:dublin-west,country:ie,Q5310999
22,260003C,Dublin North-West (3),26560.603052300000854,481F9B8B-15C3-46EA-A407-775F3281D16D,0.003534417373001,0.346432907781071,Dublin North–West,country:ie/dail-constituency:dublin-north-west,country:ie,Q2531985
23,260004C,Dublin Bay North (5),73382.808747699993546,3AF7A302-D4F3-4789-809C-75A4D96EED14,0.006491425031887,0.926065455483573,Dublin Bay North,country:ie/dail-constituency:dublin-bay-north,country:ie,Q5310820
24,260005C,Dublin Central (3),27350.657562399999733,4B160D1C-41B2-40EC-9C14-F9F53D1F3FDB,0.001894765078993,0.354645977539912,Dublin Central,country:ie/dail-constituency:dublin-central,country:ie,Q2622823
25,260006C,Dublin Mid-West (4),65027.688818800001172,C86502E5-5DBB-46A4-B913-7A37F813C57B,0.014053508137353,0.799172996712418,Dublin Mid–West,country:ie/dail-constituency:dublin-mid-west,country:ie,Q2641881
26,260007C,Dublin South-Central (4),26568.143245399998705,F429C537-3D0C-4816-8470-E5C44A107190,0.003589083072580,0.323445009499639,Dublin South–Central,country:ie/dail-constituency:dublin-south-central,country:ie,Q5310969
27,260008C,Dublin Bay South (4),33529.364279300003545,B4A90DB6-E625-4B70-813D-BE136A92C9A9,0.003111551115745,0.432217412753366,Dublin Bay South,country:ie/dail-constituency:dublin-bay-south,country:ie,Q5310822
28,260009C,Dublin South-West (5),56994.819403900000907,9C1D8D61-9319-4A69-8A59-3E9496F04382,0.015163155745573,0.675554777043333,Dublin South–West,country:ie/dail-constituency:dublin-south-west,country:ie,Q5310971
29,30001C,Clare (4),533304.969849999994040,3D7FB62A-AF60-4D22-A873-542ACE8EA01D,0.457891326342551,6.677924483939340,Clare,country:ie/dail-constituency:clare,country:ie,Q2570782
30,40001C,Cork East (4),379891.362480000010692,48BFAC96-2DFF-4372-B216-A46EA183E87E,0.217611788971475,4.576069731794640,Cork East,country:ie/dail-constituency:cork-east,country:ie,Q16951667
31,40002C,Cork North-Central (4),169280.104464000003645,CD9AB3FF-8A12-4F77-96D4-5F4EF76E07CC,0.084890487512189,2.044147935897550,Cork North–Central,country:ie/dail-constituency:cork-north-central,country:ie,Q2357143
32,40003C,Cork South-Central (4),104698.227201000001514,218E3BC9-65E5-48A3-9934-F03C5C150993,0.025878688516396,1.303307009513110,Cork South–Central,country:ie/dail-constituency:cork-south-central,country:ie,Q2635304
33,40004C,Cork North-West (3),445870.559000000008382,D15D7151-21A5-4CAE-8764-32664B9BC9E1,0.340862980930327,5.369142644872970,Cork North–West,country:ie/dail-constituency:cork-north-west,country:ie,Q3147235
34,40005C,Cork South-West (3),1550238.161249999888241,B7BEC117-108B-4F0A-AC81-036DC4AE990E,0.310922745895636,19.111730509076899,Cork South–West,country:ie/dail-constituency:cork-south-west,country:ie,Q2746787
35,50001C,Donegal (5),1627817.943029999965802,3320217E-0AA4-4419-832C-654AE7016F52,0.652143466975462,20.504694013874801,Donegal,country:ie/dail-constituency:donegal,country:ie,Q5295599
36,60001C,Galway West (5),1703598.597629999974743,42C8AA87-94C3-4013-8F82-2D57739B7FA7,0.378815155254257,21.045040931621902,Galway West,country:ie/dail-constituency:galway-west,country:ie,Q2251639
37,60002C,Galway East (3),540496.582219999982044,2B7D9E8B-BFDD-46DF-AAC2-831A4A0C03CB,0.388563375737086,6.679807243717580,Galway East,country:ie/dail-constituency:galway-east,country:ie,Q4568022
38,70001C,Kerry (5),1420216.835650000022724,F5A00F1F-91F8-454C-9DA7-55753A3BB6CD,0.630521005002083,17.198164467297701,Kerry,country:ie/dail-constituency:kerry,country:ie,Q6394444
39,80001C,Kildare North (4),199615.404340000008233,A3633282-2E52-45AF-A81E-74F45C96C653,0.081647072891121,2.458610775511220,Kildare North,country:ie/dail-constituency:kildare-north,country:ie,Q6406731
40,80002C,Kildare South (3),258288.126040000002831,558A721C-E5E6-432E-BE8F-8489BD52105E,0.131198376776469,3.147651469859750,Kildare South,country:ie/dail-constituency:kildare-south,country:ie,Q17088606
