MS_FB,MS_FB_PARE,WIKIDATA,NAME
country:ie/seanad:administrative-panel,country:ie,Q4683477,Administrative Panel
country:ie/seanad:agricultural-panel,country:ie,Q4693912,Agricultural Panel
country:ie/seanad:cultural-and-educational-panel,country:ie,Q5193254,Cultural and Educational Panel
country:ie/seanad:labour-panel,country:ie,Q6467443,Labour Panel
country:ie/seanad:national-university-of-ireland,country:ie,Q6979248,National University of Ireland
country:ie/seanad:nominated-members-of-seanad-éireann,country:ie,Q7048605,Nominated members of Seanad Éireann
country:ie/seanad:university-of-dublin,country:ie,Q7895348,University of Dublin
country:ie/seanad:industrial-and-commercial-panel,country:ie,Q17087286,Industrial and Commercial Panel
