OBJECTID,LE_ID,LE_ENGLISH,LE_GAEILGE,COUNTY,CONTAE,PROVINCE,CENTROID_X,CENTROID_Y,LEA_NAME,MS_FB_PARE,MS_FB,WIKIDATA
92,13260427,CLONTARF (6),,Dublin,Baile Átha Cliath,Leinster,718921,736853,Clontarf,country:ie/administrative-city:dublin,country:ie/administrative-city:dublin/lea:clontarf,Q54945247
93,13260428,BEAUMONT — DONAGHMEDE (9),,Dublin,Baile Átha Cliath,Leinster,719904,739691,Beaumont — Donaghmede,country:ie/administrative-city:dublin,country:ie/administrative-city:dublin/lea:beaumont---donaghmede,Q54945248
94,1330400,WEST CLARE (8),,Clare,An Clár,Munster,497347,674550,West Clare,country:ie/county:clare,country:ie/county:clare/lea:west-clare,Q54945203
95,1330401,KILLALOE (6),,Clare,An Clár,Munster,527024,710632,Killaloe,country:ie/county:clare,country:ie/county:clare/lea:killaloe,Q54945207
96,1330402,SHANNON (6),,Clare,An Clár,Munster,544132,664906,Shannon,country:ie/county:clare,country:ie/county:clare/lea:shannon,Q54945208
97,1330403,ENNIS (8),,Clare,An Clár,Munster,533748,677422,Ennis,country:ie/county:clare,country:ie/county:clare/lea:ennis,Q54945206
98,1340400,KANTURK — MALLOW (6),,Cork,Corcaigh,Munster,536800,604394,Kanturk — Mallow,country:ie/county:cork,country:ie/county:cork/lea:kanturk---mallow,Q54945228
99,1340401,FERMOY (6),,Cork,Corcaigh,Munster,575267,604342,Fermoy,country:ie/county:cork,country:ie/county:cork/lea:fermoy,Q54945227
100,1340402,EAST CORK (6),,Cork,Corcaigh,Munster,594834,573327,East Cork,country:ie/county:cork,country:ie/county:cork/lea:east-cork,Q54945234
101,1340403,COBH (7),,Cork,Corcaigh,Munster,579010,565479,Cobh,country:ie/county:cork,country:ie/county:cork/lea:cobh,Q54945233
102,1340404,BALLINCOLLIG — CARRIGALINE (10),,Cork,Corcaigh,Munster,566596,566743,Ballincollig — Carrigaline,country:ie/county:cork,country:ie/county:cork/lea:ballincollig---carrigaline,Q54945229
103,1340405,BANDON — KINSALE (6),,Cork,Corcaigh,Munster,564101,547226,Bandon — Kinsale,country:ie/county:cork,country:ie/county:cork/lea:bandon---kinsale,Q54945235
104,1340406,WEST CORK (8),,Cork,Corcaigh,Munster,501725,527646,West Cork,country:ie/county:cork,country:ie/county:cork/lea:west-cork,Q54945238
105,1340407,BLARNEY — MACROOM (6),,Cork,Corcaigh,Munster,536056,571849,Blarney — Macroom,country:ie/county:cork,country:ie/county:cork/lea:blarney---macroom,Q54945236
106,1340408,CORK CITY NORTH WEST,,CORK,Corcaigh,Munster,565765,572622,Cork City North-West,country:ie/administrative-city:cork,country:ie/administrative-city:cork/lea:cork-city-north-west,Q54945221
107,1340409,CORK CITY NORTH CENTRAL,,CORK,Corcaigh,Munster,567568,573414,Cork City North-Central,country:ie/administrative-city:cork,country:ie/administrative-city:cork/lea:cork-city-north-central,Q54945219
108,1340410,CORK CITY NORTH EAST,,CORK,Corcaigh,Munster,569828,573009,Cork City North-East,country:ie/administrative-city:cork,country:ie/administrative-city:cork/lea:cork-city-north-east,Q54945220
109,1340411,CORK CITY SOUTH WEST,,CORK,Corcaigh,Munster,564634,570477,Cork City South-West,country:ie/administrative-city:cork,country:ie/administrative-city:cork/lea:cork-city-south-west,Q54945225
110,1340412,CORK CITY SOUTH CENTRAL,,CORK,Corcaigh,Munster,567354,570785,Cork City South-Central,country:ie/administrative-city:cork,country:ie/administrative-city:cork/lea:cork-city-south-central,Q54945223
111,1340413,CORK CITY SOUTH EAST,,CORK,Corcaigh,Munster,570634,570791,Cork City South-East,country:ie/administrative-city:cork,country:ie/administrative-city:cork/lea:cork-city-south-east,Q54945224
112,1350400,GLENTIES (6),,Donegal,Dún na nGall,Ulster,572818,913128,Glenties,country:ie/county:donegal,country:ie/county:donegal/lea:glenties,Q54945240
113,1350401,LETTERKENNY (10),,Donegal,Dún na nGall,Ulster,618624,940653,Letterkenny,country:ie/county:donegal,country:ie/county:donegal/lea:letterkenny,Q54945242
114,1350402,INISHOWEN (9),,Donegal,Dún na nGall,Ulster,643031,958635,Inishowen,country:ie/county:donegal,country:ie/county:donegal/lea:inishowen,Q54945241
115,1350403,STRANORLAR (6),,Donegal,Dún na nGall,Ulster,614521,898758,Stranorlar,country:ie/county:donegal,country:ie/county:donegal/lea:stranorlar,Q54945244
116,1350404,DONEGAL (6),,Donegal,Dún na nGall,Ulster,554378,889735,Donegal,country:ie/county:donegal,country:ie/county:donegal/lea:donegal,Q54945239
117,1360400,CONAMARA (9),,Galway,Gaillimh,Connacht,485936,731304,Conamara,country:ie/county:galway,country:ie/county:galway/lea:conamara,Q54945293
118,1360401,TUAM (9),,Galway,Gaillimh,Connacht,548988,753657,Tuam,country:ie/county:galway,country:ie/county:galway/lea:tuam,Q54945306
119,1360402,BALLINASLOE (6),,Galway,Gaillimh,Connacht,578889,738716,Ballinasloe,country:ie/county:galway,country:ie/county:galway/lea:ballinasloe,Q54945292
120,1360403,LOUGHREA (8),,Galway,Gaillimh,Connacht,534391,712858,Loughrea,country:ie/county:galway,country:ie/county:galway/lea:loughrea,Q54945295
121,1360404,ATHENRY-ORANMORE (7),,Galway,Gaillimh,Connacht,535480,715938,Athenry-Oranmore,country:ie/county:galway,country:ie/county:galway/lea:athenry-oranmore,Q54945305
122,1360420,GALWAY CITY WEST (6),,Galway,Gaillimh,Connacht,529688,723182,Galway City West,country:ie/administrative-city:galway,country:ie/administrative-city:galway/lea:galway-city-west,Q54945288
123,1360421,GALWAY CITY CENTRAL (6),,Galway,Gaillimh,Connacht,528586,727500,Galway City Central,country:ie/administrative-city:galway,country:ie/administrative-city:galway/lea:galway-city-central,Q54945289
124,1360422,GALWAY CITY EAST (6),,Galway,Gaillimh,Connacht,531514,723643,Galway City East,country:ie/administrative-city:galway,country:ie/administrative-city:galway/lea:galway-city-east,Q54945290
125,1370400,LISTOWEL (7),,Kerry,Ciarraí,Munster,476901,633891,Listowel,country:ie/county:kerry,country:ie/county:kerry/lea:listowel,Q54945309
126,1370401,TRALEE (9),,Kerry,Ciarraí,Munster,479960,612944,Tralee,country:ie/county:kerry,country:ie/county:kerry/lea:tralee,Q54945311
127,1370402,KILLARNEY (8),,Kerry,Ciarraí,Munster,500751,595485,Killarney,country:ie/county:kerry,country:ie/county:kerry/lea:killarney,Q54945307
128,1370403,SOUTH AND WEST KERRY (9),,Kerry,Ciarraí,Munster,425890,596356,South And West Kerry,country:ie/county:kerry,country:ie/county:kerry/lea:south-and-west-kerry,Q54945310
129,1380400,MAYNOOTH (9),,Kildare,Cill Dara,Leinster,679583,734547,Maynooth,country:ie/county:kildare,country:ie/county:kildare/lea:maynooth,Q54945326
130,1380401,CELBRIDGE — LEIXLIP (7),,Kildare,Cill Dara,Leinster,696807,732479,Celbridge — Leixlip,country:ie/county:kildare,country:ie/county:kildare/lea:celbridge---leixlip,Q54945325
131,1380402,NAAS (9),,Kildare,Cill Dara,Leinster,691168,717464,Naas,country:ie/county:kildare,country:ie/county:kildare/lea:naas,Q54945315
132,1380403,ATHY (6),,Kildare,Cill Dara,Leinster,673390,693617,Athy,country:ie/county:kildare,country:ie/county:kildare/lea:athy,Q54945313
133,1380404,KILDARE — NEWBRIDGE (9),,Kildare,Cill Dara,Leinster,673970,717708,Kildare — Newbridge,country:ie/county:kildare,country:ie/county:kildare/lea:kildare---newbridge,Q54945314
134,1390400,CASTLECOMER (6),,Kilkenny,Cill Chainnigh,Leinster,642292,665665,Castlecomer,country:ie/county:kilkenny,country:ie/county:kilkenny/lea:castlecomer,Q54945327
135,1390401,KILKENNY CITY-EAST (6),,Kilkenny,Cill Chainnigh,Leinster,660308,642243,Kilkenny City East,country:ie/county:kilkenny,country:ie/county:kilkenny/lea:kilkenny-city-east,Q54945330
136,1390402,PILTOWN (6),,Kilkenny,Cill Chainnigh,Leinster,655958,624953,Piltown,country:ie/county:kilkenny,country:ie/county:kilkenny/lea:piltown,Q54945329
137,1390403,KILKENNY CITY-WEST (6),,Kilkenny,Cill Chainnigh,Leinster,646190,649610,Kilkenny City West,country:ie/county:kilkenny,country:ie/county:kilkenny/lea:kilkenny-city-west,Q54945331
