OBJECTID,COUNTY,ENGLISH,WIKIDATA,CONTAE,PROVINCE,ID,CENTROID_X,CENTROID_Y,GlobalID,GUID,MS_FB_PARE,MS_FB,name_en
1,DUBLIN,Dublin City Council,Q1761,Baile Átha Cliath,Leinster,265011,712153,735780,ec7df314-e9ad-4b31-b76c-e3ce8796a87c,EC7DF314-E9AD-4B31-B76C-E3CE8796A87C,country:ie,country:ie/administrative-city:dublin,Dublin City
2,GALWAY,Galway City Council,Q129610,Gaillimh,Connacht,65011,530363,726364,fa241879-9706-4005-bfd7-fbf80c56c6ee,FA241879-9706-4005-BFD7-FBF80C56C6EE,country:ie,country:ie/administrative-city:galway,Galway City
3,CORK,Cork City Council,Q36647,Corcaigh,Munster,45511,567611,571949,eb9428b8-b443-407e-977b-9393fd73e1d0,EB9428B8-B443-407E-977B-9393FD73E1D0,country:ie,country:ie/administrative-city:cork,Cork City
4,LAOIS,Laois County Council,Q55299,Laois,Leinster,105001,644825,693938,76a974d4-60f2-4167-ab8e-6adefc878a57,76A974D4-60F2-4167-AB8E-6ADEFC878A57,country:ie,country:ie/county:laois,Laois County
5,ROSCOMMON,Roscommon County Council,Q179437,Ros Comáin,Connacht,195001,582317,778883,2d3544e6-a828-4bf7-a4b5-f3c3f3a1b11b,2D3544E6-A828-4BF7-A4B5-F3C3F3A1B11B,country:ie,country:ie/county:roscommon,Roscommon County
6,WATERFORD,Waterford City and County Council,Q184594,Port Láirge,Munster,225002,625792,604797,8256b4ab-2ebb-46ea-bcfd-e9b5da4bfd23,8256B4AB-2EBB-46EA-BCFD-E9B5DA4BFD23,country:ie,country:ie/county:waterford,Waterford City and County
7,DUBLIN,South Dublin County Council,Q822865,Baile Átha Cliath,Leinster,265003,704391,726785,6c7d5f02-1d93-42bf-9b2e-91ce53906e32,6C7D5F02-1D93-42BF-9B2E-91CE53906E32,country:ie,country:ie/county:south-dublin,South Dublin County
8,LOUTH,Louth County Council,Q183539,Lú,Leinster,145001,699245,798377,0f2662ee-a38d-4001-aeaa-209c2058b3f8,0F2662EE-A38D-4001-AEAA-209C2058B3F8,country:ie,country:ie/county:louth,Louth County
9,MONAGHAN,Monaghan County Council,Q184760,Muineachán,Ulster,175001,669141,824829,78ae611d-f9da-4ec9-8ece-846bfffca22d,78AE611D-F9DA-4EC9-8ECE-846BFFFCA22D,country:ie,country:ie/county:monaghan,Monaghan County
10,MEATH,Meath County Council,Q183544,An Mhí,Leinster,165001,688919,762584,7d3d6ef0-2287-488a-bd33-a9883d8f3ac4,7D3D6EF0-2287-488A-BD33-A9883D8F3AC4,country:ie,country:ie/county:meath,Meath County
11,DUBLIN,Fingal County Council,Q520000,Baile Átha Cliath,Leinster,265002,715859,750573,da8a143e-499d-4407-ae87-36e6c9f68ef9,DA8A143E-499D-4407-AE87-36E6C9F68EF9,country:ie,country:ie/county:fingal,Fingal County
12,LEITRIM,Leitrim County Council,Q107397,Liatroim,Connacht,115001,599868,819517,76cf8f82-cd46-41f7-a5ad-400a08468d2b,76CF8F82-CD46-41F7-A5AD-400A08468D2B,country:ie,country:ie/county:leitrim,Leitrim County
13,WESTMEATH,Westmeath County Council,Q182633,An Iarmhí,Leinster,235001,635445,753975,c26ac177-3d04-4f56-bc31-dc712289c410,C26AC177-3D04-4F56-BC31-DC712289C410,country:ie,country:ie/county:westmeath,Westmeath County
14,CORK,Cork County Council,Q162475,Corcaigh,Munster,45501,549968,582714,8a998e65-d3be-4620-98de-ebf44de0285b,8A998E65-D3BE-4620-98DE-EBF44DE0285B,country:ie,country:ie/county:cork,Cork County
15,DONEGAL,Donegal County Council,Q179424,Dún na nGall,Ulster,55001,605132,904889,bcd3c654-ad8a-411b-bcd7-d2c210a9ab28,BCD3C654-AD8A-411B-BCD7-D2C210A9AB28,country:ie,country:ie/county:donegal,Donegal County
16,DUBLIN,Dún Laoghaire-Rathdown County Council,Q538417,Baile Átha Cliath,Leinster,265001,719777,724822,8cd118df-9362-4d15-8028-16cb016e942c,8CD118DF-9362-4D15-8028-16CB016E942C,country:ie,country:ie/county:dun-laoghaire-rathdown,Dún Laoghaire-Rathdown County
17,LONGFORD,Longford County Council,Q186220,An Longfort,Leinster,135001,618694,777291,89d0fd4f-b387-461b-a8f0-0fcf37a9340e,89D0FD4F-B387-461B-A8F0-0FCF37A9340E,country:ie,country:ie/county:longford,Longford County
18,GALWAY,Galway County Council,Q169923,Gaillimh,Connacht,65001,543188,734366,9b0f930f-0337-4fca-b95f-2500bc016df8,9B0F930F-0337-4FCA-B95F-2500BC016DF8,country:ie,country:ie/county:galway,Galway County
19,KILKENNY,Kilkenny County Council,Q180231,Cill Chainnigh,Leinster,95001,653002,647665,5f2be378-1cf3-4332-a1d0-21ebad4d24ef,5F2BE378-1CF3-4332-A1D0-21EBAD4D24EF,country:ie,country:ie/county:kilkenny,Kilkenny County
20,SLIGO,Sligo County Council,Q179325,Sligeach,Connacht,205001,560387,823096,15f5be96-328e-4f88-a697-4aba7341fd94,15F5BE96-328E-4F88-A697-4ABA7341FD94,country:ie,country:ie/county:sligo,Sligo County
21,OFFALY,Offaly County Council,Q184445,Uíbh Fhailí,Leinster,185001,619211,720628,085b854e-1c5e-440b-929f-6e375069859e,085B854E-1C5E-440B-929F-6E375069859E,country:ie,country:ie/county:offaly,Offaly County
22,WICKLOW,Wicklow County Council,Q182591,Cill Mhantáin,Leinster,255001,709629,694080,9e71a548-10aa-4ec4-951d-05ca74ea7337,9E71A548-10AA-4EC4-951D-05CA74EA7337,country:ie,country:ie/county:wicklow,Wicklow County
23,WEXFORD,Wexford County Council,Q184599,Loch Garman,Leinster,245001,696186,637381,32e5833e-7f3a-41b8-9e25-6b1c0f021eec,32E5833E-7F3A-41B8-9E25-6B1C0F021EEC,country:ie,country:ie/county:wexford,Wexford County
24,KILDARE,Kildare County Council,Q173332,Cill Dara,Leinster,85001,678852,718609,f681a4db-9f68-4e3a-98f1-754da7a3f4bd,F681A4DB-9F68-4E3A-98F1-754DA7A3F4BD,country:ie,country:ie/county:kildare,Kildare County
25,KERRY,Kerry County Council,Q184469,Ciarraí,Munster,75001,492785,601449,6f00ecff-f079-40a7-97b7-b8391afcf856,6F00ECFF-F079-40A7-97B7-B8391AFCF856,country:ie,country:ie/county:kerry,Kerry County
26,TIPPERARY,Tipperary County Council,Q184618,Tiobraid Árann,Munster,215003,599564,670540,f67663ab-74a6-4b8b-a2ea-c0b76aeb132b,F67663AB-74A6-4B8B-A2EA-C0B76AEB132B,country:ie,country:ie/county:tipperary,Tipperary County
27,LIMERICK,Limerick City and County Council,Q178283,Luimneach,Munster,125002,549257,640003,ba1dda73-2749-4473-a847-2baad5038176,BA1DDA73-2749-4473-A847-2BAAD5038176,country:ie,country:ie/county:limerick,Limerick City and County
28,CAVAN,Cavan County Council,Q187402,An Cabhán,Ulster,25001,645942,803257,f1ce5ab6-2a36-4e32-b04a-e79ccd016bce,F1CE5AB6-2A36-4E32-B04A-E79CCD016BCE,country:ie,country:ie/county:cavan,Cavan County
29,MAYO,Mayo County Council,Q178626,Maigh Eo,Connacht,155001,506350,808284,0ce50849-c9f9-4c13-a0cf-6f98cd58b40f,0CE50849-C9F9-4C13-A0CF-6F98CD58B40F,country:ie,country:ie/county:mayo,Mayo County
30,CLARE,Clare County Council,Q181862,An Clár,Munster,35001,533997,684193,84b85b58-010e-45db-bc55-e137bbe627e4,84B85B58-010E-45DB-BC55-E137BBE627E4,country:ie,country:ie/county:clare,Clare County
31,CARLOW,Carlow County Council,Q181882,Ceatharlach,Leinster,15001,680331,664233,d3a82c01-e07a-4554-8fe4-355ebb161f5a,D3A82C01-E07A-4554-8FE4-355EBB161F5A,country:ie,country:ie/county:carlow,Carlow County
